stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390T1,,"City, Victoria Centre T1",,52.9560365,-1.1484406,,,0,,,0
3300GE0040,,"Marwood Road",,52.975563,-1.105642,,,0,,,0
3300GE0042,,"Carlton Square",,52.967168,-1.086905,,,0,,,0
3300GE0043,,"Belper Avenue",,52.97212,-1.097061,,,0,,,0
3300GE0044,,"Belper Avenue",,52.971789,-1.096427,,,0,,,0
3300GE0045,,"Alpine Crescent",,52.970089,-1.093872,,,0,,,0
3300GE0046,,"Alpine Crescent",,52.970063,-1.094021,,,0,,,0
3300GE0047,,Cemetery,,52.968951,-1.092005,,,0,,,0
3300GE0048,,Cemetery,,52.968811,-1.091367,,,0,,,0
3300GE0049,,"Carlton Square",,52.967779,-1.08926,,,0,,,0
3300GE0051,,"Carlton Square",,52.967347,-1.086886,,,0,,,0
3300GE0053,,"Manor Green Walk",,52.968046,-1.083711,,,0,,,0
3300GE0054,,"Manor Green Walk",,52.968276,-1.082548,,,0,,,0
3300GE0055,,"Manor Crescent",,52.968982,-1.079764,,,0,,,0
3300GE0056,,"Manor Crescent",,52.968979,-1.079332,,,0,,,0
3300GE0057,,"Burton Road, Ousebridge Drive",,52.970136,-1.077878,,,0,,,0
3300GE0058,,"Burton Road, Ousebridge Drive",,52.970169,-1.077505,,,0,,,0
3300GE0059,,"Burton Close",,52.971029,-1.075908,,,0,,,0
3300GE0060,,"Carlton Square",,52.967294,-1.088258,,,0,,,0
3300GE0062,,"Marwood Road",,52.975464,-1.105689,,,0,,,0
3300GE0063,,"Huckerby's Field",,52.974464,-1.103043,,,0,,,0
3300GE0069,,"Coningswath Rd Bottom",,52.9732,-1.098751,,,0,,,0
3300GE0071,,"Coningswath Rd Bottom",,52.973572,-1.099115,,,0,,,0
3300GE0078,,"Huckerby's Field",,52.974384,-1.103105,,,0,,,0
3300GE0079,,"Burton Close",,52.970965,-1.075701,,,0,,,0
3300GE0105,,"Florence Road",,52.972052,-1.071031,,,0,,,0
3300GE0110,,"Chesterfield Street",,52.966358,-1.095037,,,0,,,0
3300GE0111,,"Chesterfield Street",,52.966468,-1.094096,,,0,,,0
3300GE0112,,"Southcliffe Road",,52.966275,-1.092388,,,0,,,0
3300GE0113,,"Carlton, Tesco",,52.966329,-1.09127,,,0,,,0
3300GE0114,,Tesco,,52.966202,-1.091094,,,0,,,0
3300GE0183,,"Florence Road",,52.972491,-1.070829,,,0,,,0
3300GE0190,,"Bakewell Avenue",,52.975024,-1.090373,,,0,,,0
3300GE0191,,"Westdale La E, Ramsdale Rd",,52.973908,-1.087805,,,0,,,0
3300GE0192,,"Westdale La E, Ramsdale Rd",,52.973795,-1.087212,,,0,,,0
3300GE0193,,"Victoria Street",,52.972419,-1.083607,,,0,,,0
3300GE0194,,"Westdale La, Digby Av",,52.979633,-1.100598,,,0,,,0
3300GE0195,,"Lascelles Avenue",,52.97856,-1.096629,,,0,,,0
3300GE0196,,"Hartington Avenue",,52.976673,-1.093168,,,0,,,0
3300GE0197,,"Hartington Avenue",,52.976525,-1.09271,,,0,,,0
3300GE0201,,"Westdale La, Digby Av",,52.979581,-1.100927,,,0,,,0
3300GE0202,,"Victoria Street",,52.972392,-1.083003,,,0,,,0
3300GE0203,,"Redland Grove",,52.969206,-1.081903,,,0,,,0
3300GE0204,,"Redland Grove",,52.969306,-1.082035,,,0,,,0
3300GE0205,,"Gedling Rd, Westdale La E",,52.971553,-1.082092,,,0,,,0
3300GE0212,,"Bakewell Avenue",,52.975232,-1.090532,,,0,,,0
3300GE0227,,"Burton Road, Linden Grove",,52.975175,-1.065782,,,0,,,0
